gene_id	gene_symbol	ensg	hgnc_id	disease_term_id	disease_name	matching_hpo_terms	modes_of_inheritance	mode_of_inheritance_curies	classifications	evidence_sources	source_evidence	assertion_count
9736	FANCC	ENSG00000158169	HGNC:3584	MONDO:0009213	Fanconi anemia complementation group C	[{'label': 'Decreased total neutrophil count', 'term_id': 'HP:0001875'}]	['AR', 'Autosomal recessive']	['HP:0000007']	['Definitive', 'Strong']	"['ClinGen', 'G2P', 'Labcorp Genetics (formerly Invitae)', ""Myriad Women's Health"", 'Natera', 'PanelApp Australia']"	"[{'moi': 'AR', 'source': 'ClinGen', 'classification': 'Definitive', 'classification_scheme': 'ClinGen Gene-Disease Validity'}, {'moi': 'Autosomal recessive', 'source': 'G2P', 'moi_curie': 'HP:0000007', 'classification': 'Definitive', 'classification_scheme': 'GenCC gene-disease validity classification'}, {'moi': 'Autosomal recessive', 'source': 'Labcorp Genetics (formerly Invitae)', 'moi_curie': 'HP:0000007', 'classification': 'Strong', 'classification_scheme': 'GenCC gene-disease validity classification'}, {'moi': 'Autosomal recessive', 'source': ""Myriad Women's Health"", 'moi_curie': 'HP:0000007', 'classification': 'Definitive', 'classification_scheme': 'GenCC gene-disease validity classification'}, {'moi': 'Autosomal recessive', 'source': 'Natera', 'moi_curie': 'HP:0000007', 'classification': 'Definitive', 'classification_scheme': 'GenCC gene-disease validity classification'}, {'moi': 'Autosomal recessive', 'source': 'PanelApp Australia', 'moi_curie': 'HP:0000007', 'classification': 'Strong', 'classification_scheme': 'GenCC gene-disease validity classification'}]"	6
9737	FANCD2	ENSG00000144554	HGNC:3585	MONDO:0009214	Fanconi anemia complementation group D2	[{'label': 'Decreased total neutrophil count', 'term_id': 'HP:0001875'}]	['AR', 'Autosomal recessive']	['HP:0000007']	['Definitive', 'Strong']	['Ambry Genetics', 'ClinGen', 'G2P', 'Labcorp Genetics (formerly Invitae)', 'PanelApp Australia']	[{'moi': 'AR', 'source': 'ClinGen', 'classification': 'Definitive', 'classification_scheme': 'ClinGen Gene-Disease Validity'}, {'moi': 'Autosomal recessive', 'source': 'Ambry Genetics', 'moi_curie': 'HP:0000007', 'classification': 'Definitive', 'classification_scheme': 'GenCC gene-disease validity classification'}, {'moi': 'Autosomal recessive', 'source': 'G2P', 'moi_curie': 'HP:0000007', 'classification': 'Definitive', 'classification_scheme': 'GenCC gene-disease validity classification'}, {'moi': 'Autosomal recessive', 'source': 'Labcorp Genetics (formerly Invitae)', 'moi_curie': 'HP:0000007', 'classification': 'Strong', 'classification_scheme': 'GenCC gene-disease validity classification'}, {'moi': 'Autosomal recessive', 'source': 'PanelApp Australia', 'moi_curie': 'HP:0000007', 'classification': 'Strong', 'classification_scheme': 'GenCC gene-disease validity classification'}]	5
9741	FANCE	ENSG00000112039	HGNC:3586	MONDO:0010953	Fanconi anemia complementation group E	[{'label': 'Decreased total neutrophil count', 'term_id': 'HP:0001875'}]	['AR', 'Autosomal recessive']	['HP:0000007']	['Definitive', 'Strong']	['ClinGen', 'G2P', 'Labcorp Genetics (formerly Invitae)', 'PanelApp Australia']	[{'moi': 'AR', 'source': 'ClinGen', 'classification': 'Definitive', 'classification_scheme': 'ClinGen Gene-Disease Validity'}, {'moi': 'Autosomal recessive', 'source': 'G2P', 'moi_curie': 'HP:0000007', 'classification': 'Definitive', 'classification_scheme': 'GenCC gene-disease validity classification'}, {'moi': 'Autosomal recessive', 'source': 'Labcorp Genetics (formerly Invitae)', 'moi_curie': 'HP:0000007', 'classification': 'Strong', 'classification_scheme': 'GenCC gene-disease validity classification'}, {'moi': 'Autosomal recessive', 'source': 'PanelApp Australia', 'moi_curie': 'HP:0000007', 'classification': 'Strong', 'classification_scheme': 'GenCC gene-disease validity classification'}]	4
9743	FANCG	ENSG00000221829	HGNC:3588	MONDO:0013565	Fanconi anemia complementation group G	[{'label': 'Decreased total neutrophil count', 'term_id': 'HP:0001875'}]	['AR', 'Autosomal recessive']	['HP:0000007']	['Definitive', 'Strong']	['ClinGen', 'G2P', 'Labcorp Genetics (formerly Invitae)', 'Natera', 'PanelApp Australia']	[{'moi': 'AR', 'source': 'ClinGen', 'classification': 'Definitive', 'classification_scheme': 'ClinGen Gene-Disease Validity'}, {'moi': 'Autosomal recessive', 'source': 'G2P', 'moi_curie': 'HP:0000007', 'classification': 'Definitive', 'classification_scheme': 'GenCC gene-disease validity classification'}, {'moi': 'Autosomal recessive', 'source': 'Labcorp Genetics (formerly Invitae)', 'moi_curie': 'HP:0000007', 'classification': 'Strong', 'classification_scheme': 'GenCC gene-disease validity classification'}, {'moi': 'Autosomal recessive', 'source': 'Natera', 'moi_curie': 'HP:0000007', 'classification': 'Definitive', 'classification_scheme': 'GenCC gene-disease validity classification'}, {'moi': 'Autosomal recessive', 'source': 'PanelApp Australia', 'moi_curie': 'HP:0000007', 'classification': 'Strong', 'classification_scheme': 'GenCC gene-disease validity classification'}]	5
9744	FANCI	ENSG00000140525	HGNC:25568	MONDO:0012186	Fanconi anemia complementation group I	[{'label': 'Decreased total neutrophil count', 'term_id': 'HP:0001875'}]	['AR', 'Autosomal recessive']	['HP:0000007']	['Definitive', 'Strong']	['ClinGen', 'G2P', 'Labcorp Genetics (formerly Invitae)', 'PanelApp Australia']	[{'moi': 'AR', 'source': 'ClinGen', 'classification': 'Definitive', 'classification_scheme': 'ClinGen Gene-Disease Validity'}, {'moi': 'Autosomal recessive', 'source': 'G2P', 'moi_curie': 'HP:0000007', 'classification': 'Definitive', 'classification_scheme': 'GenCC gene-disease validity classification'}, {'moi': 'Autosomal recessive', 'source': 'Labcorp Genetics (formerly Invitae)', 'moi_curie': 'HP:0000007', 'classification': 'Strong', 'classification_scheme': 'GenCC gene-disease validity classification'}, {'moi': 'Autosomal recessive', 'source': 'PanelApp Australia', 'moi_curie': 'HP:0000007', 'classification': 'Strong', 'classification_scheme': 'GenCC gene-disease validity classification'}]	4
9768	FAS	ENSG00000026103	HGNC:11920	MONDO:0011158	autoimmune lymphoproliferative syndrome type 1	[{'label': 'Autoimmune neutropenia', 'term_id': 'HP:0001904'}]	['Autosomal dominant', 'Autosomal recessive']	['HP:0000006', 'HP:0000007']	['Definitive', 'Moderate', 'Strong']	['Ambry Genetics', 'Labcorp Genetics (formerly Invitae)']	[{'moi': 'Autosomal dominant', 'source': 'Ambry Genetics', 'moi_curie': 'HP:0000006', 'classification': 'Definitive', 'classification_scheme': 'GenCC gene-disease validity classification'}, {'moi': 'Autosomal dominant', 'source': 'Labcorp Genetics (formerly Invitae)', 'moi_curie': 'HP:0000006', 'classification': 'Strong', 'classification_scheme': 'GenCC gene-disease validity classification'}, {'moi': 'Autosomal recessive', 'source': 'Ambry Genetics', 'moi_curie': 'HP:0000007', 'classification': 'Moderate', 'classification_scheme': 'GenCC gene-disease validity classification'}]	3
9770	FASLG	ENSG00000117560	HGNC:11936	MONDO:0011158	autoimmune lymphoproliferative syndrome type 1	[{'label': 'Autoimmune neutropenia', 'term_id': 'HP:0001904'}]	['AR', 'Autosomal dominant', 'Autosomal recessive']	['HP:0000006', 'HP:0000007']	['Definitive', 'Limited', 'Strong']	['Ambry Genetics', 'ClinGen', 'Labcorp Genetics (formerly Invitae)']	[{'moi': 'AR', 'source': 'ClinGen', 'classification': 'Definitive', 'classification_scheme': 'ClinGen Gene-Disease Validity'}, {'moi': 'Autosomal dominant', 'source': 'Ambry Genetics', 'moi_curie': 'HP:0000006', 'classification': 'Limited', 'classification_scheme': 'GenCC gene-disease validity classification'}, {'moi': 'Autosomal dominant', 'source': 'Labcorp Genetics (formerly Invitae)', 'moi_curie': 'HP:0000006', 'classification': 'Limited', 'classification_scheme': 'GenCC gene-disease validity classification'}, {'moi': 'Autosomal recessive', 'source': 'Ambry Genetics', 'moi_curie': 'HP:0000007', 'classification': 'Limited', 'classification_scheme': 'GenCC gene-disease validity classification'}, {'moi': 'Autosomal recessive', 'source': 'Labcorp Genetics (formerly Invitae)', 'moi_curie': 'HP:0000007', 'classification': 'Strong', 'classification_scheme': 'GenCC gene-disease validity classification'}]	5
9814	FBXL4	ENSG00000112234	HGNC:13601	MONDO:0014198	mitochondrial DNA depletion syndrome 13	[{'label': 'Decreased total neutrophil count', 'term_id': 'HP:0001875'}]	['Autosomal recessive']	['HP:0000007']	['Definitive', 'Strong']	['G2P', 'Genomics England PanelApp', 'Labcorp Genetics (formerly Invitae)', 'Orphanet', 'PanelApp Australia']	[{'source': 'Orphanet'}, {'moi': 'Autosomal recessive', 'source': 'G2P', 'moi_curie': 'HP:0000007', 'classification': 'Definitive', 'classification_scheme': 'GenCC gene-disease validity classification'}, {'moi': 'Autosomal recessive', 'source': 'Genomics England PanelApp', 'moi_curie': 'HP:0000007', 'classification': 'Strong', 'classification_scheme': 'GenCC gene-disease validity classification'}, {'moi': 'Autosomal recessive', 'source': 'Labcorp Genetics (formerly Invitae)', 'moi_curie': 'HP:0000007', 'classification': 'Strong', 'classification_scheme': 'GenCC gene-disease validity classification'}, {'moi': 'Autosomal recessive', 'source': 'PanelApp Australia', 'moi_curie': 'HP:0000007', 'classification': 'Strong', 'classification_scheme': 'GenCC gene-disease validity classification'}]	5
9881	FBXW7	ENSG00000109670	HGNC:16712	MONDO:0859280	developmental delay, hypotonia, and impaired language	[{'label': 'Decreased total neutrophil count', 'term_id': 'HP:0001875'}]	['Autosomal dominant']	['HP:0000006']	['Moderate', 'Strong']	['Ambry Genetics', 'G2P', 'Labcorp Genetics (formerly Invitae)', 'PanelApp Australia']	[{'moi': 'Autosomal dominant', 'source': 'Ambry Genetics', 'moi_curie': 'HP:0000006', 'classification': 'Strong', 'classification_scheme': 'GenCC gene-disease validity classification'}, {'moi': 'Autosomal dominant', 'source': 'G2P', 'moi_curie': 'HP:0000006', 'classification': 'Moderate', 'classification_scheme': 'GenCC gene-disease validity classification'}, {'moi': 'Autosomal dominant', 'source': 'Labcorp Genetics (formerly Invitae)', 'moi_curie': 'HP:0000006', 'classification': 'Strong', 'classification_scheme': 'GenCC gene-disease validity classification'}, {'moi': 'Autosomal dominant', 'source': 'PanelApp Australia', 'moi_curie': 'HP:0000006', 'classification': 'Strong', 'classification_scheme': 'GenCC gene-disease validity classification'}]	4
9955	FDX2	ENSG00000267673	HGNC:30546	MONDO:0020714	mitochondrial myopathy, episodic, with optic atrophy and reversible leukoencephalopathy	[{'label': 'Decreased total neutrophil count', 'term_id': 'HP:0001875'}]	['Autosomal recessive']	['HP:0000007']	['Moderate', 'Strong']	['Ambry Genetics', 'Labcorp Genetics (formerly Invitae)']	[{'moi': 'Autosomal recessive', 'source': 'Ambry Genetics', 'moi_curie': 'HP:0000007', 'classification': 'Moderate', 'classification_scheme': 'GenCC gene-disease validity classification'}, {'moi': 'Autosomal recessive', 'source': 'Labcorp Genetics (formerly Invitae)', 'moi_curie': 'HP:0000007', 'classification': 'Strong', 'classification_scheme': 'GenCC gene-disease validity classification'}]	2
10091	FIBP	ENSG00000172500	HGNC:3705	MONDO:0014918	tall stature-intellectual disability-renal anomalies syndrome	[{'label': 'Transiently decreased total neutrophil count', 'term_id': 'HP:0410255'}]	['Autosomal recessive']	['HP:0000007']	['Moderate', 'Strong']	['G2P', 'Labcorp Genetics (formerly Invitae)', 'Orphanet', 'PanelApp Australia']	[{'source': 'Orphanet'}, {'moi': 'Autosomal recessive', 'source': 'G2P', 'moi_curie': 'HP:0000007', 'classification': 'Moderate', 'classification_scheme': 'GenCC gene-disease validity classification'}, {'moi': 'Autosomal recessive', 'source': 'Labcorp Genetics (formerly Invitae)', 'moi_curie': 'HP:0000007', 'classification': 'Strong', 'classification_scheme': 'GenCC gene-disease validity classification'}, {'moi': 'Autosomal recessive', 'source': 'PanelApp Australia', 'moi_curie': 'HP:0000007', 'classification': 'Moderate', 'classification_scheme': 'GenCC gene-disease validity classification'}]	4
10193	FMO3	ENSG00000007933	HGNC:3771	MONDO:0018767	severe primary trimethylaminuria	[{'label': 'Decreased total neutrophil count', 'term_id': 'HP:0001875'}]	['Autosomal recessive']	['HP:0000007']	['Strong']	['Labcorp Genetics (formerly Invitae)', 'Orphanet', 'PanelApp Australia']	[{'source': 'Orphanet'}, {'moi': 'Autosomal recessive', 'source': 'Labcorp Genetics (formerly Invitae)', 'moi_curie': 'HP:0000007', 'classification': 'Strong', 'classification_scheme': 'GenCC gene-disease validity classification'}, {'moi': 'Autosomal recessive', 'source': 'PanelApp Australia', 'moi_curie': 'HP:0000007', 'classification': 'Strong', 'classification_scheme': 'GenCC gene-disease validity classification'}]	3
10229	FNIP1	ENSG00000217128	HGNC:29418	MONDO:0030528	immunodeficiency 93 and hypertrophic cardiomyopathy	[{'label': 'Decreased total neutrophil count', 'term_id': 'HP:0001875'}]	['Autosomal recessive']	['HP:0000007']	['Strong']	['Labcorp Genetics (formerly Invitae)', 'PanelApp Australia']	[{'moi': 'Autosomal recessive', 'source': 'Labcorp Genetics (formerly Invitae)', 'moi_curie': 'HP:0000007', 'classification': 'Strong', 'classification_scheme': 'GenCC gene-disease validity classification'}, {'moi': 'Autosomal recessive', 'source': 'PanelApp Australia', 'moi_curie': 'HP:0000007', 'classification': 'Strong', 'classification_scheme': 'GenCC gene-disease validity classification'}]	2
10318	FOXP3	ENSG00000049768	HGNC:6106	MONDO:0010580	immune dysregulation-polyendocrinopathy-enteropathy-X-linked syndrome	[{'label': 'Decreased total neutrophil count', 'term_id': 'HP:0001875'}]	['XL', 'X-linked']	['HP:0001417']	['Definitive', 'Strong']	['ClinGen', 'G2P', 'Genomics England PanelApp', 'Labcorp Genetics (formerly Invitae)', 'Orphanet', 'PanelApp Australia']	[{'source': 'Orphanet'}, {'moi': 'XL', 'source': 'ClinGen', 'classification': 'Definitive', 'classification_scheme': 'ClinGen Gene-Disease Validity'}, {'moi': 'X-linked', 'source': 'G2P', 'moi_curie': 'HP:0001417', 'classification': 'Definitive', 'classification_scheme': 'GenCC gene-disease validity classification'}, {'moi': 'X-linked', 'source': 'Genomics England PanelApp', 'moi_curie': 'HP:0001417', 'classification': 'Strong', 'classification_scheme': 'GenCC gene-disease validity classification'}, {'moi': 'X-linked', 'source': 'Labcorp Genetics (formerly Invitae)', 'moi_curie': 'HP:0001417', 'classification': 'Strong', 'classification_scheme': 'GenCC gene-disease validity classification'}, {'moi': 'X-linked', 'source': 'PanelApp Australia', 'moi_curie': 'HP:0001417', 'classification': 'Strong', 'classification_scheme': 'GenCC gene-disease validity classification'}]	6
10622	FUT8	ENSG00000033170	HGNC:4019	MONDO:0020775	congenital disorder of glycosylation with defective fucosylation 1	[{'label': 'Decreased total neutrophil count', 'term_id': 'HP:0001875'}]	['AR', 'Autosomal recessive']	['HP:0000007']	['Definitive', 'Moderate', 'Strong']	['Ambry Genetics', 'ClinGen', 'G2P', 'Labcorp Genetics (formerly Invitae)', 'PanelApp Australia']	[{'moi': 'AR', 'source': 'ClinGen', 'classification': 'Definitive', 'classification_scheme': 'ClinGen Gene-Disease Validity'}, {'moi': 'Autosomal recessive', 'source': 'Ambry Genetics', 'moi_curie': 'HP:0000007', 'classification': 'Moderate', 'classification_scheme': 'GenCC gene-disease validity classification'}, {'moi': 'Autosomal recessive', 'source': 'G2P', 'moi_curie': 'HP:0000007', 'classification': 'Strong', 'classification_scheme': 'GenCC gene-disease validity classification'}, {'moi': 'Autosomal recessive', 'source': 'Labcorp Genetics (formerly Invitae)', 'moi_curie': 'HP:0000007', 'classification': 'Strong', 'classification_scheme': 'GenCC gene-disease validity classification'}, {'moi': 'Autosomal recessive', 'source': 'PanelApp Australia', 'moi_curie': 'HP:0000007', 'classification': 'Strong', 'classification_scheme': 'GenCC gene-disease validity classification'}]	5
10670	G6PC3	ENSG00000141349	HGNC:24861	MONDO:0012930	autosomal recessive severe congenital neutropenia due to G6PC3 deficiency	[{'label': 'Decreased total neutrophil count', 'term_id': 'HP:0001875'}]	['AR', 'Autosomal recessive']	['HP:0000007']	['Definitive', 'Strong']	['Ambry Genetics', 'ClinGen', 'Labcorp Genetics (formerly Invitae)', 'Orphanet', 'PanelApp Australia']	[{'source': 'Orphanet'}, {'moi': 'AR', 'source': 'ClinGen', 'classification': 'Definitive', 'classification_scheme': 'ClinGen Gene-Disease Validity'}, {'moi': 'Autosomal recessive', 'source': 'Ambry Genetics', 'moi_curie': 'HP:0000007', 'classification': 'Definitive', 'classification_scheme': 'GenCC gene-disease validity classification'}, {'moi': 'Autosomal recessive', 'source': 'Labcorp Genetics (formerly Invitae)', 'moi_curie': 'HP:0000007', 'classification': 'Strong', 'classification_scheme': 'GenCC gene-disease validity classification'}, {'moi': 'Autosomal recessive', 'source': 'PanelApp Australia', 'moi_curie': 'HP:0000007', 'classification': 'Strong', 'classification_scheme': 'GenCC gene-disease validity classification'}]	5
10760	GALE	ENSG00000117308	HGNC:4116	MONDO:0958333	thrombocytopenia 13, syndromic	[{'label': 'Decreased total neutrophil count', 'term_id': 'HP:0001875'}]	['Autosomal recessive']	['HP:0000007']	['Strong']	['PanelApp Australia']	[{'moi': 'Autosomal recessive', 'source': 'PanelApp Australia', 'moi_curie': 'HP:0000007', 'classification': 'Strong', 'classification_scheme': 'GenCC gene-disease validity classification'}]	1
10918	GATA1	ENSG00000102145	HGNC:4170	MONDO:0010444	X-linked dyserythropoetic anemia with abnormal platelets and neutropenia	[{'label': 'Decreased total neutrophil count', 'term_id': 'HP:0001875'}]	[]	[]	[]	['Orphanet']	[{'source': 'Orphanet'}]	1
10919	GATA2	ENSG00000179348	HGNC:4171	MONDO:0013607	monocytopenia with susceptibility to infections	[{'label': 'Decreased total neutrophil count', 'term_id': 'HP:0001875'}]	['Autosomal dominant']	['HP:0000006']	['Definitive']	['Ambry Genetics', 'Orphanet']	[{'source': 'Orphanet'}, {'moi': 'Autosomal dominant', 'source': 'Ambry Genetics', 'moi_curie': 'HP:0000006', 'classification': 'Definitive', 'classification_scheme': 'GenCC gene-disease validity classification'}]	2
11059	GFI1	ENSG00000162676	HGNC:4237	MONDO:0013139	neutropenia, severe congenital, 2, autosomal dominant	[{'label': 'Decreased total neutrophil count', 'term_id': 'HP:0001875'}]	['Autosomal dominant']	['HP:0000006']	['Limited', 'Strong']	['Ambry Genetics', 'Labcorp Genetics (formerly Invitae)', 'PanelApp Australia']	[{'moi': 'Autosomal dominant', 'source': 'Ambry Genetics', 'moi_curie': 'HP:0000006', 'classification': 'Limited', 'classification_scheme': 'GenCC gene-disease validity classification'}, {'moi': 'Autosomal dominant', 'source': 'Labcorp Genetics (formerly Invitae)', 'moi_curie': 'HP:0000006', 'classification': 'Strong', 'classification_scheme': 'GenCC gene-disease validity classification'}, {'moi': 'Autosomal dominant', 'source': 'PanelApp Australia', 'moi_curie': 'HP:0000006', 'classification': 'Strong', 'classification_scheme': 'GenCC gene-disease validity classification'}]	3
11133	GINS1	ENSG00000101003	HGNC:28980	MONDO:0044725	combined immunodeficiency due to GINS1 deficiency	[{'label': 'Decreased total neutrophil count', 'term_id': 'HP:0001875'}]	['Autosomal recessive', 'Unknown']	['HP:0000005', 'HP:0000007']	['Limited', 'Moderate', 'Strong']	['Ambry Genetics', 'ClinGen', 'Labcorp Genetics (formerly Invitae)', 'Orphanet', 'PanelApp Australia']	[{'source': 'Orphanet'}, {'moi': 'Autosomal recessive', 'source': 'Ambry Genetics', 'moi_curie': 'HP:0000007', 'classification': 'Limited', 'classification_scheme': 'GenCC gene-disease validity classification'}, {'moi': 'Autosomal recessive', 'source': 'ClinGen', 'moi_curie': 'HP:0000007', 'classification': 'Moderate', 'classification_scheme': 'GenCC gene-disease validity classification'}, {'moi': 'Autosomal recessive', 'source': 'PanelApp Australia', 'moi_curie': 'HP:0000007', 'classification': 'Strong', 'classification_scheme': 'GenCC gene-disease validity classification'}, {'moi': 'Unknown', 'source': 'Labcorp Genetics (formerly Invitae)', 'moi_curie': 'HP:0000005', 'classification': 'Limited', 'classification_scheme': 'GenCC gene-disease validity classification'}]	5
11818	GSS	ENSG00000100983	HGNC:4624	MONDO:0009947	glutathione synthetase deficiency with 5-oxoprolinuria	[{'label': 'Decreased total neutrophil count', 'term_id': 'HP:0001875'}]	['Autosomal recessive']	['HP:0000007']	['Strong']	['Labcorp Genetics (formerly Invitae)', 'Orphanet']	[{'source': 'Orphanet'}, {'moi': 'Autosomal recessive', 'source': 'Labcorp Genetics (formerly Invitae)', 'moi_curie': 'HP:0000007', 'classification': 'Strong', 'classification_scheme': 'GenCC gene-disease validity classification'}]	2
11877	GTF2H5	ENSG00000272047	HGNC:21157	MONDO:0014619	trichothiodystrophy 3, photosensitive	[{'label': 'Decreased total neutrophil count', 'term_id': 'HP:0001875'}]	['Autosomal recessive']	['HP:0000007']	['Definitive', 'Strong']	['G2P', 'Genomics England PanelApp', 'Labcorp Genetics (formerly Invitae)', 'PanelApp Australia']	[{'moi': 'Autosomal recessive', 'source': 'G2P', 'moi_curie': 'HP:0000007', 'classification': 'Definitive', 'classification_scheme': 'GenCC gene-disease validity classification'}, {'moi': 'Autosomal recessive', 'source': 'Genomics England PanelApp', 'moi_curie': 'HP:0000007', 'classification': 'Strong', 'classification_scheme': 'GenCC gene-disease validity classification'}, {'moi': 'Autosomal recessive', 'source': 'Labcorp Genetics (formerly Invitae)', 'moi_curie': 'HP:0000007', 'classification': 'Strong', 'classification_scheme': 'GenCC gene-disease validity classification'}, {'moi': 'Autosomal recessive', 'source': 'PanelApp Australia', 'moi_curie': 'HP:0000007', 'classification': 'Strong', 'classification_scheme': 'GenCC gene-disease validity classification'}]	4
12276	HAX1	ENSG00000143575	HGNC:16915	MONDO:0012548	Kostmann syndrome	[{'label': 'Decreased total neutrophil count', 'term_id': 'HP:0001875'}]	['Autosomal recessive']	['HP:0000007']	['Definitive', 'Strong']	['Ambry Genetics', 'G2P', 'Labcorp Genetics (formerly Invitae)', 'Natera', 'Orphanet', 'PanelApp Australia']	[{'source': 'Orphanet'}, {'moi': 'Autosomal recessive', 'source': 'Ambry Genetics', 'moi_curie': 'HP:0000007', 'classification': 'Definitive', 'classification_scheme': 'GenCC gene-disease validity classification'}, {'moi': 'Autosomal recessive', 'source': 'G2P', 'moi_curie': 'HP:0000007', 'classification': 'Definitive', 'classification_scheme': 'GenCC gene-disease validity classification'}, {'moi': 'Autosomal recessive', 'source': 'Labcorp Genetics (formerly Invitae)', 'moi_curie': 'HP:0000007', 'classification': 'Strong', 'classification_scheme': 'GenCC gene-disease validity classification'}, {'moi': 'Autosomal recessive', 'source': 'Natera', 'moi_curie': 'HP:0000007', 'classification': 'Definitive', 'classification_scheme': 'GenCC gene-disease validity classification'}, {'moi': 'Autosomal recessive', 'source': 'PanelApp Australia', 'moi_curie': 'HP:0000007', 'classification': 'Strong', 'classification_scheme': 'GenCC gene-disease validity classification'}]	6
13156	HSCB	ENSG00000100209	HGNC:28913	MONDO:0030436	anemia, sideroblastic, 5	[{'label': 'Decreased total neutrophil count', 'term_id': 'HP:0001875'}]	['Autosomal recessive', 'Unknown']	['HP:0000005', 'HP:0000007']	['Limited', 'Moderate']	['Labcorp Genetics (formerly Invitae)', 'PanelApp Australia']	[{'moi': 'Autosomal recessive', 'source': 'PanelApp Australia', 'moi_curie': 'HP:0000007', 'classification': 'Moderate', 'classification_scheme': 'GenCC gene-disease validity classification'}, {'moi': 'Unknown', 'source': 'Labcorp Genetics (formerly Invitae)', 'moi_curie': 'HP:0000005', 'classification': 'Limited', 'classification_scheme': 'GenCC gene-disease validity classification'}]	2
13372	HTRA2	ENSG00000115317	HGNC:14348	MONDO:0044723	3-methylglutaconic aciduria type 8	[{'label': 'Decreased total neutrophil count', 'term_id': 'HP:0001875'}]	['AR', 'Autosomal recessive']	['HP:0000007']	['Definitive', 'Strong']	['ClinGen', 'G2P', 'Labcorp Genetics (formerly Invitae)', 'Orphanet', 'PanelApp Australia']	[{'source': 'Orphanet'}, {'moi': 'AR', 'source': 'ClinGen', 'classification': 'Definitive', 'classification_scheme': 'ClinGen Gene-Disease Validity'}, {'moi': 'Autosomal recessive', 'source': 'G2P', 'moi_curie': 'HP:0000007', 'classification': 'Strong', 'classification_scheme': 'GenCC gene-disease validity classification'}, {'moi': 'Autosomal recessive', 'source': 'Labcorp Genetics (formerly Invitae)', 'moi_curie': 'HP:0000007', 'classification': 'Strong', 'classification_scheme': 'GenCC gene-disease validity classification'}, {'moi': 'Autosomal recessive', 'source': 'PanelApp Australia', 'moi_curie': 'HP:0000007', 'classification': 'Strong', 'classification_scheme': 'GenCC gene-disease validity classification'}]	5
13435	ICOS	ENSG00000163600	HGNC:5351	MONDO:0011864	immunodeficiency, common variable, 1	[{'label': 'Autoimmune neutropenia', 'term_id': 'HP:0001904'}]	['Autosomal recessive']	['HP:0000007']	['Moderate', 'Strong']	['Ambry Genetics', 'G2P', 'Labcorp Genetics (formerly Invitae)', 'PanelApp Australia']	[{'moi': 'Autosomal recessive', 'source': 'Ambry Genetics', 'moi_curie': 'HP:0000007', 'classification': 'Moderate', 'classification_scheme': 'GenCC gene-disease validity classification'}, {'moi': 'Autosomal recessive', 'source': 'G2P', 'moi_curie': 'HP:0000007', 'classification': 'Moderate', 'classification_scheme': 'GenCC gene-disease validity classification'}, {'moi': 'Autosomal recessive', 'source': 'Labcorp Genetics (formerly Invitae)', 'moi_curie': 'HP:0000007', 'classification': 'Strong', 'classification_scheme': 'GenCC gene-disease validity classification'}, {'moi': 'Autosomal recessive', 'source': 'PanelApp Australia', 'moi_curie': 'HP:0000007', 'classification': 'Strong', 'classification_scheme': 'GenCC gene-disease validity classification'}]	4
13436	ICOSLG	ENSG00000160223	HGNC:17087	MONDO:0970993	immunodeficiency 119	[{'label': 'Decreased total neutrophil count', 'term_id': 'HP:0001875'}]	['Autosomal recessive']	['HP:0000007']	['Limited', 'Moderate']	['Ambry Genetics', 'PanelApp Australia']	[{'moi': 'Autosomal recessive', 'source': 'Ambry Genetics', 'moi_curie': 'HP:0000007', 'classification': 'Limited', 'classification_scheme': 'GenCC gene-disease validity classification'}, {'moi': 'Autosomal recessive', 'source': 'PanelApp Australia', 'moi_curie': 'HP:0000007', 'classification': 'Moderate', 'classification_scheme': 'GenCC gene-disease validity classification'}]	2
13683	IGHM	ENSG00000211899	HGNC:5541	MONDO:0020729	autosomal recessive agammaglobulinemia 1	[{'label': 'Decreased total neutrophil count', 'term_id': 'HP:0001875'}]	['AR', 'Autosomal recessive']	['HP:0000007']	['Definitive', 'Strong']	['ClinGen', 'Labcorp Genetics (formerly Invitae)', 'PanelApp Australia']	[{'moi': 'AR', 'source': 'ClinGen', 'classification': 'Definitive', 'classification_scheme': 'ClinGen Gene-Disease Validity'}, {'moi': 'Autosomal recessive', 'source': 'Labcorp Genetics (formerly Invitae)', 'moi_curie': 'HP:0000007', 'classification': 'Strong', 'classification_scheme': 'GenCC gene-disease validity classification'}, {'moi': 'Autosomal recessive', 'source': 'PanelApp Australia', 'moi_curie': 'HP:0000007', 'classification': 'Strong', 'classification_scheme': 'GenCC gene-disease validity classification'}]	3
14095	IKBKG	ENSG00000269335	HGNC:5961	MONDO:0800129	autoinflammatory disease, X-linked	[{'label': 'Decreased total neutrophil count', 'term_id': 'HP:0001875'}]	['X-linked']	['HP:0001417']	['Strong']	['PanelApp Australia']	[{'moi': 'X-linked', 'source': 'PanelApp Australia', 'moi_curie': 'HP:0001417', 'classification': 'Strong', 'classification_scheme': 'GenCC gene-disease validity classification'}]	1
